index,' sex',' mstatus',' age',' children',' occupation',' education',' income',' avbal',' avtrans',' decision'
904,F,divorced,42.65,2,finance,postgrad,8979.81,17330.58,2291.6,None
905,F,married,31.28,2,construct,secondary,8979.81,17330.58,2291.6,A
906,F,married,50.13,2,government,tertiary,2601.39,27161.11,1472.24,A
907,M,single,30.93,0,education,tertiary,4018.73,21433.63,929.56,None
908,M,widowed,60.12,1,finance,secondary,1875.26,19448.39,1183.67,None
909,M,married,57.12,1,legal,tertiary,11915.06,31091.86,3770.24,None
910,F,widowed,48.39,1,finance,secondary,1683.62,16039.74,1016.57,None
911,F,single,25.77,0,finance,secondary,2058.16,16096.06,2063.76,None
912,F,married,36.61,2,government,secondary,2710.7,11500.63,215.42,A
913,F,married,38.18,0,finance,professional,8056.97,33921.23,4120.25,None
914,F,divorced,69.84,1,retired,secondary,465.49,10452.61,841.13,None
915,M,single,31.73,0,manuf,tertiary,5230.52,20233.27,679.47,None
916,F,single,37.65,0,IT,tertiary,3563.27,34287.13,2247.84,None
917,F,married,68.91,0,retired,secondary,1710.87,15704.78,331.91,None
918,F,widowed,68.85,3,retired,tertiary,2869.38,14723.89,994.85,None
919,F,married,39.45,0,construct,tertiary,2869.38,14723.89,994.85,None
920,F,married,23.64,3,construct,secondary,2869.38,14723.89,994.85,None
921,F,single,35.58,0,finance,tertiary,6222.71,16219.16,2331.09,None
922,M,married,54.98,1,manuf,tertiary,4470.57,5062.34,1732.38,None
923,F,widowed,70.66,0,retired,postgrad,5163.77,8018.26,1079.94,None
924,F,single,22.37,0,government,secondary,1405.43,5966.49,401,None
925,M,divorced,47.8,0,education,secondary,864.33,3960.82,589.42,None
926,M,divorced,69.45,2,retired,secondary,453.2,11051,410.66,None
927,M,single,19.42,0,government,tertiary,5765.46,26466.66,1394.72,None
928,M,married,35.85,2,finance,tertiary,4800.78,16256.68,1194.17,None
929,F,married,40.35,3,government,secondary,2508.6,4032.28,711.69,A
930,M,married,52.64,2,IT,tertiary,2247.32,15230.28,934.93,None
931,F,divorced,64.11,1,finance,tertiary,5271.01,18932.41,3413.28,None
932,F,married,41.64,0,education,postgrad,8762.33,14752.59,1487.77,None
933,F,married,51.6,1,construct,secondary,8762.33,14752.59,1487.77,A
934,F,married,36.42,2,education,secondary,2223.88,13187.61,836.24,None
935,F,widowed,78.11,1,retired,secondary,1301.5,15776.72,1100.96,None
936,F,widowed,74.04,3,retired,postgrad,3503.07,26654.02,1158.92,None
937,F,married,26.09,2,finance,tertiary,7415.44,24067.8,2215.54,A
938,F,divorced,45.82,0,legal,secondary,703.6,20535.04,2585.65,None
939,F,divorced,55.73,2,legal,secondary,1818.49,13067.32,1433.77,None
940,M,married,22.16,2,IT,postgrad,8212.69,40886.35,3029.8,A
941,M,divorced,42.68,1,finance,tertiary,7114.04,22848.03,1904.5,None
942,F,married,44.92,1,education,postgrad,3135.45,12064.45,3092.13,None
943,M,married,49.42,3,finance,postgrad,9004.81,36040.94,2204.53,None
944,F,married,47.65,1,IT,secondary,1471.6,17708.14,774,A
945,F,widowed,42.47,2,manuf,tertiary,5091.2,9689.83,1273.81,None
946,F,single,43.44,0,education,postgrad,7578.07,29778.37,1781.79,None
947,F,widowed,41.53,2,government,professional,9992.22,45693.93,3760.8,None
948,F,single,47.14,0,finance,secondary,688.16,9527.63,1334.82,None
949,F,single,22.37,0,manuf,secondary,3095.72,11810.51,550.17,None
950,F,single,27.56,0,IT,secondary,1803.87,10155.93,2048.41,None
951,F,single,31.69,0,government,tertiary,2526.79,35832.65,1716.39,None
952,M,divorced,56.88,0,IT,tertiary,6000.13,27015.19,2434.6,None
953,M,single,28.86,0,construct,professional,6000.13,27015.19,2434.6,None
954,F,widowed,63.38,0,education,secondary,2250.01,16508.32,859.39,None
955,F,divorced,57.22,0,manuf,secondary,2847.56,17110.17,851.85,None
956,M,single,27.84,0,manuf,professional,12355.92,40883.6,2952.64,None
957,M,married,41.43,1,finance,tertiary,5958.31,23352.22,3053.5,None
958,F,married,42.09,1,medicine,secondary,2926.77,21391.2,1002.58,None
959,F,widowed,59.95,3,finance,tertiary,5099.66,29388.88,758.57,None
960,M,single,20.2,0,medicine,tertiary,3506.84,27505.16,3778.29,None
961,M,single,18.71,0,government,tertiary,4871.11,23144.83,1121.04,B
962,M,single,29.54,0,government,tertiary,5303.54,26236.1,1322.16,None
963,F,married,46.62,1,medicine,tertiary,3914.73,20661.76,2954.27,A
964,F,married,63.23,0,education,tertiary,3954.57,21542.61,837.34,A
965,M,divorced,60.78,3,finance,secondary,1031.51,16002.24,2043.92,None
966,M,single,24.71,0,finance,tertiary,2607.09,29870.55,432.46,None
967,F,married,40.2,3,finance,tertiary,5990.74,35978.05,1419.39,A
968,M,single,26.73,0,medicine,tertiary,7057.44,21252.9,4023.97,None
969,M,divorced,63.63,0,education,secondary,1975.08,10945.61,497.65,None
970,M,widowed,53.2,3,finance,postgrad,8903.41,30416.77,2915.53,None
971,M,single,27.63,0,manuf,secondary,2497.75,16218.84,457.62,None
972,F,married,22.19,1,government,secondary,2479.72,11729.49,802,None
973,F,married,52.02,0,IT,secondary,889.98,19738.64,1201.9,None
974,F,divorced,33.61,1,government,tertiary,6068.6,5378.2,984.01,None
975,F,single,28.72,0,education,postgrad,3440.76,25877.84,1113.6,None
976,M,married,20.06,2,IT,postgrad,14649.94,41026.37,1215.07,A
977,F,single,21.5,0,government,secondary,1031.38,7913.75,886.57,None
978,F,married,51.88,0,medicine,postgrad,9863.69,59435.66,2484.09,A
979,M,widowed,60.17,3,education,tertiary,5886.44,13902.8,945.28,None
980,M,single,37.32,0,legal,secondary,3165.87,10009.49,1165.61,None
981,F,married,40.03,1,manuf,postgrad,11411.53,24844.95,1173.63,None
982,F,single,23.67,0,government,postgrad,9211.97,25957.57,2595.54,B
983,F,single,23.83,0,government,secondary,3535.71,16250.07,290.77,B
984,F,divorced,44.83,4,government,professional,6434.98,10797.75,3713.02,None
985,F,single,34.5,0,finance,postgrad,9302.75,19956.82,2997.42,None
986,F,single,23.08,0,medicine,postgrad,9998.06,41793.7,3878.02,None
987,F,divorced,38.21,2,IT,secondary,586.61,18404.74,1580.6,None
988,M,single,35.71,0,manuf,professional,10133.49,49954.49,3796.31,None
989,F,married,51.4,2,manuf,postgrad,2692.48,20954.73,2516.79,None
990,M,married,25.79,0,construct,secondary,2692.48,20954.73,2516.79,A
991,M,single,20.5,0,construct,secondary,2692.48,20954.73,2516.79,None
992,M,single,27.49,0,manuf,postgrad,4899.43,26342.31,2994.99,None
993,F,married,22.13,1,IT,tertiary,3085.8,16657.99,1899.98,A
994,M,divorced,41.86,1,manuf,tertiary,4555.28,39739.32,1969.29,None
995,M,single,23.43,0,medicine,tertiary,11244.15,29928.04,2289.49,B
996,F,divorced,47.56,0,manuf,professional,11143.41,17825.67,3742.27,None
997,F,widowed,56.46,1,manuf,secondary,1049.13,16875.92,507.29,None
998,M,married,42.04,0,manuf,secondary,3377.81,14205.2,652.55,None
999,M,widowed,72.92,1,retired,secondary,1694.83,8837.19,1342.45,None
1000,M,single,27.03,0,finance,tertiary,4106.89,37121.38,1307.05,None
25.388349,F,married,33.627128,1,retired,tertiary,3778.604402,13654.646591,862.62616,None
509.494934,M,married,34.059653,0,manuf,postgrad,8691.99216,25360.466757,2050.703926,None
36.035483,F,married,34.373733,1.223189,finance,secondary,1308.748517,21530.892971,1947.365133,None
328.451781,M,single,28.335837,0.127675,government,tertiary,7638.908025,3148.690707,1625.872255,None
135.270444,F,married,38.315569,2.963207,IT,secondary,1273.414474,21995.735448,1099.472396,None
154.061059,M,married,44.200443,0.033745,government,tertiary,7862.863501,11810.372381,1487.334575,None
89.586774,M,married,36.013944,1.815768,finance,tertiary,5750.671059,11128.538698,2268.192358,None
372.700103,F,single,43.26258,0.910003,manuf,tertiary,5223.188819,16201.995372,2328.853912,None
156.751713,F,divorced,36.518092,0,finance,postgrad,8246.34653,13985.956126,3336.407673,None
517.866809,M,single,61.099101,2,finance,tertiary,6020.116564,38129.389442,1971.059096,None
86.700989,F,single,22.693606,0,manuf,tertiary,5581.19,20631.73,967.65,None
86.377579,F,single,50.744296,0.06941,manuf,tertiary,5613.042247,21148.499946,888.179928,None
656.479169,F,married,44.779954,2.603767,finance,postgrad,8513.140812,29068.346403,3335.859154,None
229.30124,F,married,52.954378,2,government,tertiary,3673.714052,25278.983507,2745.66703,None
96.726613,M,married,28.112356,0,retired,tertiary,3894.058211,20242.737439,1083.223346,None
178.561776,F,divorced,51.340114,3.060465,retired,tertiary,3777.3627,14800.003789,1346.732094,None
131.524567,M,married,37.636306,0.935838,government,secondary,4013.887523,1713.635083,853.855951,None
199.460543,F,married,49.598772,2,government,tertiary,4402.088952,24845.605623,2149.081691,None
154.769125,F,widowed,55.556361,0.514157,government,professional,11997.250392,47346.86642,3578.057988,None
413.916583,F,married,44.603632,1.354166,medicine,professional,12079.380856,62069.37506,5881.932434,None
256.579176,M,single,42.098805,0.122417,government,tertiary,5007.472102,20329.812719,814.925348,None
169.938302,F,married,51.644992,0.751464,medicine,tertiary,6254.798267,28735.729752,1445.606196,None
155.725797,M,divorced,53.144507,1.288885,education,tertiary,6764.74,12294.81,1840.94,None
204.806192,F,married,30.905934,2,IT,secondary,1560.867329,16253.866082,1294.665871,None
402.927906,F,divorced,31.423977,1.323954,manuf,secondary,1995.914613,11851.734889,422.976716,None
340.563972,F,divorced,63.616171,2.383716,retired,tertiary,5593.196816,29037.382345,1034.655776,None
256.801731,F,single,40.460361,2.020729,IT,tertiary,8008.02977,21648.774676,2315.850311,None
341.48505,F,married,79.495882,1.190611,retired,tertiary,4299.782013,15006.341495,685.384883,None
205.579727,M,married,50.465653,3,construct,secondary,2227.467965,20394.84035,1440.43795,None
214.161156,M,single,33.098715,0,government,secondary,2108.289596,18533.182249,821.03129,None
574.360724,F,married,37.811445,0,government,tertiary,7147.038466,9050.628636,1762.26332,None
450.263518,F,single,31.916245,1.976076,manuf,postgrad,9294.94973,24141.80274,1768.839862,None
464.630387,F,married,51.559178,1.729207,government,tertiary,3524.042663,24301.821561,1871.121343,None
170.419819,F,married,44.322471,0.619524,finance,tertiary,5950.929726,19460.33401,3055.941392,None
461.796501,F,married,42.889227,2,government,tertiary,5642.712392,19843.610563,2132.03048,None
236.371297,M,married,53.9814,3.132692,education,tertiary,3862.331702,21702.205398,1395.273108,None
198.464492,M,single,30.83932,1.902418,IT,tertiary,4505.966969,24471.308417,1748.239818,None
298.882611,F,single,62.092057,1.915994,legal,secondary,2480.28092,10806.721461,1630.520875,None
378.922691,M,single,43.734372,0,IT,secondary,1725.730382,14753.049376,1200.854935,None
444.517336,F,married,49.255881,3,retired,secondary,1690.700118,20813.26132,935.187204,None
425.832619,M,married,40.557571,0.624079,retired,secondary,1951.692603,15743.544562,256.991438,None
493.270336,M,married,57.80376,0.564989,government,secondary,4043.516649,10388.500549,982.805811,None
311.911707,F,single,32.895467,0,manuf,secondary,3029.249121,12186.782737,884.359791,None
432.443267,F,married,26.391193,1.661216,IT,secondary,1388.12254,19847.086237,938.195057,None
629.702791,F,married,44.41476,0,manuf,tertiary,5829.538637,20130.549226,1100.0369,None
308.61294,F,divorced,57.674073,0.612766,IT,postgrad,9451.580455,17610.810317,2773.206293,None
393.368113,F,married,42.062468,1.231336,finance,secondary,3112.507495,18482.358793,2702.941369,None
375.321869,F,single,47.569888,0.939819,government,tertiary,5871.961116,5207.835349,2192.757612,None
214.753474,F,single,33.389288,0,IT,tertiary,7492.271422,21445.193966,1913.512922,None
458.991646,F,married,24.3708,0.14084,finance,professional,10449.176318,51863.006686,3629.851661,None
323.487342,F,married,39.719384,2,legal,secondary,3214.839779,8052.823421,756.333675,None
660.627412,F,married,38.029993,0,construct,tertiary,5001.453379,25738.458586,1366.477704,None
289.67048,F,married,46.900555,0.586944,IT,secondary,1523.242387,16044.293878,1254.5052,None
349.725108,F,single,35.722536,0,finance,professional,12048.15,34593.71,7299.56,None
475.129667,F,single,57.962687,0,manuf,secondary,3161.880631,12326.667191,855.10281,None
460.972311,F,single,42.249109,0,retired,secondary,525.265092,7492.627492,781.334987,None
398.330513,M,married,66.390166,0,retired,tertiary,4496.032781,12322.613342,1819.086175,None
437.944169,F,married,45.159703,0.68626,manuf,secondary,3159.190792,12150.732651,2147.825788,None
184.899195,F,single,33.83485,0.540822,manuf,tertiary,5162.768209,27040.920256,884.877055,None
451.569389,M,married,47.754693,0.091346,finance,secondary,3054.615414,6980.073533,658.170418,None
809.766134,F,married,40.169497,0.065738,manuf,secondary,689.50876,11884.512591,1107.899177,None
597.058623,F,married,52.53147,0.049165,manuf,secondary,2816.352595,11727.216916,860.336273,None
398.482747,M,single,33.553307,1.070702,legal,tertiary,6724.33,30160.66,3153.15,None
386.120396,M,single,18.492754,0,manuf,tertiary,5891.386966,25904.079209,1342.707932,None
732.636293,M,married,38.22302,0,government,tertiary,4801.468361,2131.374267,883.75443,None
489.309821,F,married,23.638362,0.302594,finance,tertiary,5885.807143,24761.095756,2319.067907,None
375.927072,F,married,45.857725,4,retired,tertiary,3676.29306,14815.265621,896.324562,None
484.598854,F,single,39.121159,0.165267,IT,secondary,2881.505869,18651.352996,1145.907969,None
361.170212,M,married,38.72961,0.6298,legal,tertiary,6765.139269,29739.478084,3037.967712,None
616.129073,F,married,34.5063,1.505916,retired,tertiary,5185.608389,33901.978018,1525.249513,None
472.668651,F,married,42.811242,1.819358,IT,secondary,1372.102784,15910.499719,841.003686,None
481.740795,F,single,44.097257,0.201627,IT,tertiary,6964.397701,32683.10557,2559.819021,None
459.939436,M,single,26.491611,0,government,secondary,2333.629411,10075.544047,528.176952,None
470.047558,M,single,49.638765,0.894556,IT,secondary,2174.052821,14890.745166,1206.724811,None
520.859257,F,divorced,70.049802,1.777409,retired,tertiary,5138.511684,29283.422911,1170.994014,None
567.309716,F,married,37.580753,1.322414,retired,secondary,1572.976656,13091.829284,698.836852,None
466.901707,F,single,30.957547,0,finance,postgrad,9525.310514,18074.653593,3173.059905,None
535.088225,M,married,39.967252,0,education,secondary,2619.007874,20001.042463,759.958032,None
423.127185,F,married,33.737498,3.992109,IT,secondary,1619.298817,16257.238293,1770.132332,None
375.795594,F,divorced,29.069675,1.33872,manuf,secondary,2022.062753,11642.448815,387.397643,None
436.537026,F,single,32.63155,0.51839,manuf,secondary,1091.783504,6836.581278,701.412314,None
484.298907,F,married,27.307547,0.146468,manuf,secondary,949.145598,12124.56361,1285.320296,None
271.12153,F,single,28.851498,1.083493,finance,secondary,2391.715202,19127.130206,1198.960537,None
524.985899,F,married,55.532333,1.881681,finance,postgrad,11089.233146,30746.8153,3108.875807,None
721.116224,F,married,26.287764,1.556598,medicine,professional,10933.671523,59155.165094,4239.208135,None
858.67315,F,single,31.665016,0,finance,secondary,2367.660214,15808.944541,3001.655914,None
592.523274,M,single,40.745133,0,manuf,tertiary,6867.844551,25866.963391,2242.225398,None
438.922029,F,divorced,57.422786,1.308207,retired,secondary,684.092185,11739.195197,1164.405401,None
763.190628,F,single,37.449756,0.163125,manuf,tertiary,2440.061174,36065.274651,2555.347743,None
468.936048,F,married,58.659533,2.740308,finance,secondary,2028.46,21391.474299,1399.48713,None
555.758779,F,married,54.222055,1.600329,finance,secondary,2763.19155,21513.167965,1163.244786,None
332.697921,F,married,37.088172,0,IT,postgrad,6550.863033,43967.347018,5066.686194,None
312.868694,F,divorced,58.955861,1.03858,retired,tertiary,6779.898507,29065.978138,1191.297945,None
586.902424,F,divorced,30.112087,0.21883,finance,secondary,567.204921,15716.752223,1994.597779,None
713.715287,F,married,34.810929,0.915955,retired,postgrad,2651.226154,29688.413024,609.452712,None
784.944008,M,single,28.546543,0.048335,construct,secondary,2284.18321,16216.389661,429.628677,None
576.381423,F,single,35.271774,1,IT,secondary,1567.455808,12555.38325,1038.003185,None
577.377634,M,married,48.862188,1.153148,manuf,secondary,2311.772535,15954.032218,280.921579,None
691.175961,M,married,46.537664,1.991228,retired,tertiary,2583.352268,15379.307006,870.644625,None
588.301246,M,single,36.112857,1.070704,government,tertiary,8195.027695,9260.708867,1647.017046,None
620.560746,F,married,45.657227,0.803691,IT,tertiary,7473.995575,33269.79422,1643.646639,None
831.210257,F,single,48.101348,0,education,tertiary,4404.953119,20024.358323,1575.368887,None
635.712922,F,single,28.069054,1.370699,manuf,postgrad,10045.048957,24068.439339,2732.903433,None
209.272544,M,single,22.354801,0,manuf,postgrad,11197.476835,22952.571811,3941.813745,None
379.929691,F,single,54.587338,0,manuf,secondary,2330.825745,11864.510715,809.579153,None
370.415784,F,married,69.565239,0,education,tertiary,2674.079736,32965.959879,1411.741948,None
599.021606,F,single,49.73682,0.805372,government,professional,11251.499453,53099.799267,1775.103247,None
654.256876,M,married,38.084154,1.634781,manuf,secondary,2578.875361,20178.243552,724.98155,None
708.293904,M,married,32.794695,0.607177,finance,secondary,2906.378017,19619.758805,3492.708856,None
761.605307,M,married,42.283591,2.67631,legal,postgrad,9319.142182,30612.93222,3600.881873,None
268.202357,F,single,45.054836,2.701786,IT,professional,8978.899128,49722.543366,4768.933866,None
691.467046,F,married,41.315162,1.363101,manuf,tertiary,6790.897449,36242.231631,2747.870829,None
832.94355,F,single,28.802002,0.240726,manuf,secondary,2497.295397,16555.619519,369.57385,None
378.608303,F,single,28.05886,0,finance,professional,13483.394683,34966.20096,5557.755827,None
544.16118,F,divorced,38.58475,0,legal,tertiary,6983.888191,18616.386768,3199.488161,None
248.310061,F,single,45.29257,1.204395,government,postgrad,11063.950465,47275.403479,2629.221563,None
727.409699,M,married,42.613661,1.82562,construct,secondary,2515.539906,20267.759449,1360.216859,None
646.614006,F,married,30.590294,0.211206,manuf,secondary,1161.188882,12421.459935,837.397511,None
459.726966,M,divorced,23.721748,0,education,secondary,2283.771797,10106.01819,862.489226,None
507.253711,M,single,35.831066,0,manuf,tertiary,3941.53768,24113.182504,2777.912866,None
691.006577,F,married,66.959172,1.341971,IT,tertiary,5901.76995,32926.572709,694.084243,None
671.754339,F,single,29.406076,0,manuf,secondary,2024.293906,8484.54069,1366.711749,None
507.48594,M,married,48.477719,2,legal,secondary,3222.060045,7753.135525,903.411109,None
561.602256,F,divorced,56.175141,0,manuf,secondary,2548.023478,6154.524947,812.079065,None
737.249581,F,married,47.125411,0.855544,retired,secondary,2785.650388,15405.763311,932.046418,None
588.461232,F,divorced,27.873752,0.792695,finance,postgrad,8595.678563,40829.263398,3070.630494,None
592.685354,F,married,22.331668,1.895354,IT,tertiary,2555.834995,26929.410867,2367.718884,None
653.175305,F,married,33.86074,0.282102,IT,postgrad,5984.065655,47057.88335,3876.278428,None
629.911724,F,divorced,43.322274,2.879241,IT,tertiary,7299.811169,22512.029463,2088.613297,None
748.530758,F,single,56.713358,0.739994,construct,tertiary,4995.33,26083.81,1597.76,None
664.318058,F,married,37.100372,1.844172,finance,tertiary,3205.128118,24622.423253,3534.35243,None
723.40769,F,single,28.516417,0,finance,secondary,612.653138,15895.379128,1552.496104,None
243.258678,M,single,35.22569,1.505728,government,tertiary,4534.859904,20268.463507,690.110978,None
641.074215,F,married,29.939088,0,finance,secondary,2009.366652,8258.439799,871.621527,None
446.800154,F,married,40.891281,2.696055,finance,tertiary,7420.017366,36195.133268,2697.334171,None
547.821128,M,single,38.124225,1.589316,IT,tertiary,7075.7484,26481.506327,2811.121808,None
768.40431,M,divorced,64.243326,0,retired,tertiary,4122.89531,13150.876869,1594.880477,None
730.657786,F,married,65.928513,0.725441,retired,tertiary,4212.831481,20650.008182,924.194553,None
524.582561,F,married,22.898382,0,IT,tertiary,6795.739261,32623.827134,2577.174903,None
657.969194,F,single,32.420554,0.05383,construct,tertiary,5284.907163,26098.762774,1397.982474,None
634.523173,M,married,32.091128,0.993508,manuf,secondary,3610.623884,11244.282993,805.009915,None
740.105846,M,single,28.336252,0,manuf,tertiary,3063.369212,37256.204451,1795.494844,None
440.374429,F,divorced,46.353543,2.520856,retired,tertiary,5478.000196,28874.212181,1102.675326,None
676.920951,F,single,33.075166,0,IT,tertiary,4989.817058,23153.787509,833.893764,None
649.698425,F,married,45.752711,0,manuf,tertiary,5208.28664,22003.661464,1014.40726,None
858.426235,M,married,45.863863,0.34677,government,tertiary,8628.234692,12022.386724,1497.69937,None
563.067784,M,married,47.505782,0.117344,IT,tertiary,7947.064473,13136.599627,1537.66486,None
339.102699,F,single,24.242195,0,retired,secondary,2966.346125,12332.537763,1121.204618,None
828.595498,F,married,33.457724,1.256342,manuf,secondary,1097.997169,12387.270758,1274.945825,None
800.559907,F,married,47.874894,3.840031,IT,secondary,1158.3197,19910.194144,871.930702,None
523.420044,F,married,42.649137,1.663565,IT,professional,8054.812538,45220.554361,2460.441918,None
384.529328,M,divorced,43.443554,2,IT,postgrad,9081.282748,17351.736423,3880.384451,None
923.538552,F,divorced,69.513462,1.846994,retired,secondary,465.115816,10460.434577,705.09304,None
592.155146,M,married,30.262175,1.358693,manuf,tertiary,4621.513891,16091.506584,1189.207748,None
776.353222,F,single,42.610104,1.354199,finance,tertiary,7268.336788,22785.741039,2260.529313,None
677.667467,F,single,45.820346,0,medicine,tertiary,7542.785768,29293.271928,1541.514616,None
771.175358,F,married,31.333708,0,finance,secondary,3432.892702,16982.127374,957.13609,None
566.352158,M,married,20.118141,0,finance,tertiary,2627.851607,27040.200056,3223.945862,None
906.317713,F,single,34.579163,0.824845,construct,tertiary,5078.280602,26284.465044,1356.848309,None
774.246421,M,single,28.720495,0,construct,secondary,2289.761385,16112.596823,526.90214,None
726.087723,F,married,47.629515,0.23577,IT,secondary,974.462696,19926.989849,1065.039225,None
966.096776,F,single,42.658556,0,finance,postgrad,9159.773128,41757.699666,3428.359925,None
989.271272,M,single,43.65483,1.083493,manuf,secondary,2692.48,20954.73,2516.79,None
767.661725,F,single,25.305681,0,manuf,tertiary,4931.802622,26239.069686,1970.849368,None
956.037377,M,single,28.144496,0,finance,tertiary,4455.069065,37331.345298,1415.343139,None
82.373841,M,single,27.86993,0,manuf,tertiary,11679.694299,27117.816509,3736.088936,B
775.56935,M,single,27.992244,0,manuf,tertiary,11696.642186,29144.650033,3084.117365,B
47.780167,M,single,27.849097,0.583354,legal,tertiary,5069.021076,27541.424205,3177.075257,B
465.308164,M,single,25.45059,0,legal,tertiary,5617.395244,25726.46334,2385.428778,B
55.784902,M,single,24.361436,0.045069,legal,tertiary,6458.736563,27908.089424,3667.054091,B
199.253421,M,single,27.771506,0.459603,legal,tertiary,9143.941042,27713.696328,3245.630793,B
430.676433,F,single,23.64793,0,government,tertiary,8876.250659,23120.821633,2306.443786,B
161.81385,F,single,20.280805,0,government,tertiary,7879.930837,22469.338897,1737.4579,B
77.872197,M,single,27.585244,2.63292,legal,tertiary,9180.194647,41813.13036,2939.280754,B
528.152207,M,single,25.737712,2.075721,legal,tertiary,10429.317689,30504.438906,3225.766806,B
72.483172,M,single,28.868785,1,legal,tertiary,8072.489324,30444.793737,2540.683213,B
313.242148,M,single,24.824685,0.774978,legal,tertiary,11217.162238,30501.593463,2226.674224,B
309.092993,F,single,27.804729,0,government,secondary,4690.719738,18021.783434,613.842499,B
746.482758,F,single,25.713547,0,government,secondary,4696.287648,17430.331596,358.199406,B
189.99957,F,single,25.126054,0,IT,secondary,3441.365126,11034.293728,1003.661457,B
163.435419,F,single,21.852927,0,IT,secondary,2724.206712,14045.993162,594.975152,B
362.700501,F,single,23.079298,0,manuf,tertiary,3941.821259,25958.734675,1524.515194,B
246.70345,F,single,26.028137,0,manuf,tertiary,5940.8876,26011.208195,1360.630575,B
228.339482,F,single,24.947796,0,medicine,tertiary,9083.04692,25934.773224,2577.226154,B
438.675484,F,single,25.593442,0,medicine,tertiary,8223.614201,25413.089065,2539.286052,B
346.207417,M,single,26.932899,0,manuf,tertiary,11060.219906,48988.505148,3601.531174,B
155.693671,M,single,28.738369,0.715572,manuf,tertiary,9780.693186,33814.390845,2200.653967,B
205.219831,F,single,25.854248,0,legal,postgrad,8482.555339,27969.95518,2136.640992,B
353.811112,F,single,23.58658,0,legal,postgrad,10291.99016,27374.1545,2339.362266,B
164.813447,F,single,22.978978,0,legal,tertiary,9130.554044,21471.202559,2281.954443,B
429.70421,F,single,21.863561,0,legal,tertiary,5652.919622,17697.053671,3180.263076,B
218.49561,F,single,26.507687,0,IT,tertiary,9746.48151,17297.784446,2543.179848,B
291.465683,F,single,27.699846,0,IT,tertiary,6172.010637,11663.433041,2022.521582,B
434.992999,F,single,25.479113,0,legal,tertiary,10194.948238,17536.931287,3012.898735,B
450.805285,F,single,25.33423,0,legal,tertiary,12166.357823,16717.436093,2560.844052,B
233.668908,F,single,23.427998,0,legal,postgrad,8624.499378,26826.443491,3561.273489,B
403.519588,F,single,22.185804,0,legal,postgrad,6448.331334,26960.839679,4316.942733,B
392.229041,M,single,28.03322,0,IT,tertiary,9899.640772,15558.957685,1714.37014,B
278.16662,M,single,27.816954,0,IT,tertiary,8081.61061,14378.495918,1738.27832,B
535.244296,M,single,25.127003,0,manuf,tertiary,11601.269304,55793.66997,1854.610873,B
265.241497,M,single,27.359155,0,manuf,tertiary,10503.981659,53842.660666,3565.440857,B
503.085822,F,single,21.922697,0,IT,secondary,5266.471028,12808.022625,2868.175627,B
636.051165,F,single,25.721291,0,IT,secondary,5334.740335,14875.129697,1839.606733,B
326.816128,F,single,22.278905,0,manuf,tertiary,7298.732893,22022.065109,2763.934814,B
579.97153,F,single,22.999389,0.818659,manuf,tertiary,6792.322894,19814.562411,2843.953239,B
365.368349,M,single,23.581098,0,government,secondary,3229.820204,20069.650958,614.025759,B
508.07181,M,single,26.672947,0,government,secondary,2740.970709,16738.122079,399.266917,B
360.863738,F,single,22.921051,0,IT,tertiary,9544.664404,16262.446019,2403.004922,B
546.912641,F,single,25.43533,1.53175,IT,tertiary,8277.8385,15812.013603,2443.637457,B
256.567843,M,single,26.950538,0,legal,tertiary,3709.103827,25261.649387,1986.846852,B
739.31962,M,single,27.035948,0,legal,tertiary,2710.100259,24645.199992,1345.862439,B
959.711547,F,single,26.501824,0,government,secondary,4113.567948,17051.098006,343.149787,B
538.470388,F,single,25.715952,0,government,secondary,3724.631836,17252.658714,533.724742,B
342.001275,M,single,25.700722,2.191307,manuf,tertiary,10183.33959,48311.158099,2065.980578,B
132.166916,M,single,24.768094,0.129873,manuf,tertiary,10418.561886,42770.992334,1851.344228,B
389.844389,F,single,26.825556,1.962183,legal,postgrad,7910.334304,18107.826251,2470.32402,B
547.53987,F,single,26.169839,2.516895,legal,postgrad,8253.872804,16144.470903,2480.409453,B
584.818042,F,single,25.815913,0,IT,secondary,2744.506183,14405.810361,1034.353293,B
317.974885,F,single,20.674091,0,IT,secondary,2932.435138,9372.325952,809.254953,B
444.783565,F,single,25.193066,0.0018,manuf,tertiary,6293.006147,26678.263578,3099.138774,B
563.050381,F,single,24.523859,0,manuf,tertiary,6053.099263,26202.606548,2098.173151,B
626.988777,F,single,21.750651,0,government,secondary,5795.709021,21265.755446,2904.301615,B
560.678921,F,single,20.70899,0,government,secondary,6706.510573,20850.497871,3136.449188,B
497.383305,M,single,27.568427,0.7305,legal,tertiary,5367.521289,29059.460672,3597.480378,B
257.328586,M,single,24.061248,0,legal,tertiary,5696.744453,27636.558944,2139.968765,B
403.511266,F,single,24.708888,0,legal,postgrad,8838.239945,26462.033042,5191.760349,B
976.294117,F,single,24.613255,0,legal,postgrad,10244.482653,25947.02824,3082.495959,B
332.328642,M,single,25.124368,0.881185,legal,tertiary,9028.471159,40552.103005,1873.354543,B
612.086121,M,single,25.812614,0,legal,tertiary,11101.938171,38761.519364,2168.409386,B
479.190156,F,single,26.651342,0,legal,tertiary,8743.620108,25430.755076,2616.051109,B
